row_id,system_tokens,user_tokens,total_tokens,sample_total_tokens,sample_avg_tokens,sample_max_tokens,sample_token_share_user,Sample1_tokens,Sample2_tokens,Sample3_tokens,Sample4_tokens,Sample5_tokens
0,68,5222,5290,4703,940.6,982,0.900613,970,923,925,982,903
1,68,8660,8728,7422,1484.4,1909,0.857044,1257,1242,1909,1283,1731
2,68,9088,9156,7265,1453.0,3465,0.799406,893,3465,818,1172,917
3,68,7733,7801,7245,1449.0,3382,0.936894,1093,401,971,1398,3382
4,68,4219,4287,3738,747.6,1175,0.885992,1131,454,437,1175,541
5,68,6294,6362,5527,1105.4,2103,0.878138,801,838,1103,682,2103
6,68,9023,9091,7707,1541.4,2580,0.854151,1374,1665,745,1343,2580
7,68,14353,14421,11063,2212.6,6750,0.77078,1761,6750,763,753,1036
8,68,10221,10289,9690,1938.0,5806,0.948048,777,987,674,1446,5806
9,68,7433,7501,6464,1292.8,2307,0.869635,2307,1357,796,806,1198
10,68,4070,4138,3436,687.2,942,0.844226,622,709,584,942,579
11,68,7947,8015,7097,1419.4,2461,0.893041,1002,940,749,2461,1945
12,68,9100,9168,7917,1583.4,2000,0.87,1678,1338,1848,2000,1053
13,68,19205,19273,17639,3527.8,7296,0.918459,1610,2283,4923,7296,1527
14,68,4922,4990,4459,891.8,1349,0.905933,1151,1349,1118,428,413
15,68,6045,6113,5541,1108.2,1378,0.916625,891,979,1019,1378,1274
16,68,9765,9833,9189,1837.8,5721,0.941014,1431,665,763,609,5721
17,68,15837,15905,12202,2440.4,3724,0.770474,3391,3724,3520,683,884
18,68,5666,5734,4219,843.8,1461,0.744617,1461,617,831,571,739
19,68,9956,10024,8414,1682.8,2657,0.845119,1647,2657,936,1650,1524
20,68,3823,3891,3377,675.4,1186,0.883338,636,1186,453,552,550
21,68,5742,5810,5152,1030.4,1435,0.897248,653,715,1128,1221,1435
22,68,5189,5257,4638,927.6,1581,0.893814,658,705,661,1033,1581
23,68,5140,5208,4446,889.2,1293,0.864981,695,734,1293,663,1061
24,68,14893,14961,13765,2753.0,4769,0.92426,2238,1988,3518,1252,4769
25,68,3768,3836,3343,668.6,1257,0.887208,427,1257,473,508,678
26,68,10092,10160,9393,1878.6,3801,0.930737,803,1571,1390,1828,3801
27,68,4870,4938,4388,877.6,1028,0.901027,871,863,1017,609,1028
28,68,7424,7492,6937,1387.4,1444,0.934402,1346,1368,1356,1423,1444
29,68,10282,10350,9641,1928.2,5631,0.937658,761,5631,1140,662,1447
30,68,9547,9615,7256,1451.2,2132,0.760029,1977,2132,910,805,1432
31,68,8809,8877,7673,1534.6,1968,0.871041,1396,1968,1428,1330,1551
32,68,11742,11810,9198,1839.6,2475,0.783342,1816,1702,2475,2206,999
33,68,6477,6545,5854,1170.8,1639,0.903813,1054,1040,1122,1639,999
34,68,11450,11518,10748,2149.6,3792,0.93869,3008,3792,1963,999,986
35,68,5611,5679,5049,1009.8,1060,0.89984,1034,1027,1060,976,952
36,68,11663,11731,10343,2068.6,5060,0.886822,1217,1329,5060,1390,1347
37,68,15106,15174,14026,2805.2,6466,0.928505,511,2157,4130,6466,762
38,68,12391,12459,10348,2069.6,2625,0.835122,1787,1979,1636,2625,2321
39,68,12789,12857,12211,2442.2,5095,0.954805,5095,2908,1304,611,2293
40,68,4810,4878,4185,837.0,1241,0.870062,676,524,1241,680,1064
41,68,7491,7559,6379,1275.8,1769,0.851555,1769,1058,901,894,1757
42,68,11811,11879,11193,2238.6,2574,0.947676,2009,2545,2574,2039,2026
43,68,13638,13706,12708,2541.6,3351,0.931808,3316,1624,3351,1638,2779
44,68,5997,6065,4910,982.0,1173,0.818743,1173,1119,830,1168,620
45,68,4878,4946,4363,872.6,1274,0.894424,1019,979,668,1274,423
46,68,6189,6257,5044,1008.8,1400,0.814994,995,870,764,1015,1400
47,68,25660,25728,24883,4976.6,8279,0.969719,5531,1504,6555,8279,3014
48,68,7740,7808,7035,1407.0,3405,0.908915,1012,3405,888,881,849
49,68,10815,10883,10188,2037.6,2461,0.942025,2078,1837,2461,2147,1665
50,68,3169,3237,2653,530.6,565,0.837173,544,565,523,523,498
51,68,15610,15678,14077,2815.4,3934,0.901794,1028,3277,3934,2853,2985
52,68,12870,12938,11842,2368.4,3348,0.920124,1152,2032,2032,3348,3278
53,68,12417,12485,11321,2264.2,5647,0.911734,1650,5647,2133,1092,799
54,68,4395,4463,3366,673.2,884,0.76587,884,878,667,468,469
55,68,6007,6075,5347,1069.4,1390,0.890128,874,1390,803,949,1331
56,68,10242,10310,9581,1916.2,3351,0.935462,797,1214,903,3316,3351
57,68,6468,6536,5869,1173.8,1774,0.90739,1706,1774,677,854,858
58,68,13934,14002,11937,2387.4,5350,0.856681,910,1334,1693,5350,2650
59,68,4004,4072,3292,658.4,795,0.822178,605,795,733,558,601
60,68,5335,5403,4592,918.4,1356,0.860731,796,799,1356,878,763
61,68,4445,4513,3983,796.6,1170,0.896063,486,557,1165,1170,605
62,68,14645,14713,12912,2582.4,5948,0.881666,1265,1393,1427,2879,5948
63,68,10210,10278,9638,1927.6,3948,0.943976,1325,1486,979,1900,3948
